gname,glong,glat,radius,vlsr,e_vlsr,line,e_line,line_unit,beam_area,line_freq,fwhm,e_fwhm,te,e_te,source,author,telescope,kdar,Rgal,near,far,tangent,vlsr_tangent,plx,dist_author,te_priority
G012.761-00.133,12.7616,-0.132303,208.385,57.8,2.0,468.1600000000001,46.2,mJy/beam,146848.46859520106,8000.0,21.7,4.3,,500.0,WISE Catalog,Lockman (1989),NRAO 140',,3.5535733308453317,4.927486486486482,11.019627627627617,7.965969969969963,108.77966075742317,,,0
G012.804-00.207,12.8045,-0.206402,21.1451,34.86,0.1,2767.583494468779,21.74780439253033,mJy/beam,41770.0,8000.0,30.69,0.3,6858.0,90.0,Balser+2015,"Quireza et al. (2006a), Balser et al. (2015)",NRAO 140 Foot,N,4.75700516920224,3.5811231231231195,12.336108108108098,7.966328328328322,109.06566245843113,0.343,Immer et al. (2013),0
G012.805-00.196,12.8054,-0.195961,21.1451,34.9,0.1,2430.1200000000003,19.096,mJy/beam,36712.117148800266,8000.0,30.7,0.3,,500.0,WISE Catalog,Quireza et al. (2006),NRAO 140',N,4.733374294071355,3.5986396396396367,12.326527527527517,7.962221221221214,109.5356178557266,0.343,Immer et al. (2013),0
G012.813-00.200,12.8139,-0.199473,21.1451,34.9,0.1,2430.1200000000003,19.096,mJy/beam,36712.117148800266,8000.0,30.7,0.3,,500.0,WISE Catalog,Quireza et al. (2006),NRAO 140',N,5.118224453396204,3.1686066066066036,12.766018018018006,7.958558558558551,110.099722461566,0.343,Immer et al. (2013),0
G012.825+00.542,12.825,0.542,172.581,21.4,0.2,9.440000000000001,0.188,mJy/beam,6893.719775719162,8000.0,22.0,0.5,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,5.813528910057448,2.443225225225223,13.483837837837827,7.966828828828822,108.77339322661344,,,0
G013.186+00.042,13.1864,0.0427825,130.729,54.1,1.2,437.36000000000007,27.104000000000003,mJy/beam,146848.46859520106,8000.0,21.9,1.7,,500.0,WISE Catalog,Lockman (1989),NRAO 140',,3.8024448760115526,4.631273273273269,11.267345345345335,7.9503063063063,111.09047645704302,,,0
G013.215-00.145,13.2159,-0.144117,78.835,50.0,0.8,295.68,18.48,mJy/beam,146848.46859520106,8000.0,25.6,1.9,,500.0,WISE Catalog,Lockman (1989),NRAO 140',,4.0131900242761915,4.400756756756753,11.497665665665656,7.949648648648642,110.85595371186348,,,0
G013.222+00.082,13.2225,0.082,104.171,54.0,0.1,39.96000000000001,0.252,mJy/beam,6893.719775719162,8000.0,16.5,0.1,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,3.822999655196283,4.600320320320316,11.290319319319309,7.945801801801795,110.52231094028046,,,0
G013.384+00.066,13.3844,0.0665649,60.0,18.3,1.8,178.64000000000001,15.4,mJy/beam,146848.46859520106,8000.0,42.3,4.2,,500.0,WISE Catalog,Lockman (1989),NRAO 140',,6.159063231602053,2.0581621621621604,13.819297297297286,7.942427427427421,110.13680606451699,,,0
G013.523-00.195,13.5231,-0.194053,125.114,11.3,1.3,147.84,14.168,mJy/beam,146848.46859520106,8000.0,28.0,3.2,,500.0,WISE Catalog,Lockman (1989),NRAO 140',,6.838368944394127,1.3632432432432422,14.50424324324323,7.939297297297291,111.89791227110017,,,0
